movie_id|average_rating
       1|          3.75
       2|          3.56
       3|          3.64
       4|          2.74
       5|          3.92
       6|          3.08
       7|          2.13
       8|          3.19
       9|          2.62
      10|          3.18
      11|          3.03
      12|          3.42
      13|          4.55
      14|          3.03
      15|          3.29
      16|           3.1
      17|           2.9
      18|          3.78
      19|          3.32
      20|          3.15
      21|          3.46
      22|          2.25
      23|          3.56
      24|          2.99
      25|          3.97
      26|          2.79
      27|          3.53
      28|          3.82
      29|           3.6
      30|          3.76
      31|          3.05
      32|          4.07
      33|          4.17
      34|          2.71
      35|          3.15
      36|          3.02
      37|          3.99
      38|          2.05
      39|          2.44
      40|          2.92
      41|          1.63
      42|          2.33
      43|          2.57
      44|          3.68
      45|          2.97
      46|          3.81
      47|          3.27
      48|          3.71
      49|          3.67
      50|          3.03
      51|          3.57
      52|          3.76
      53|          1.68
      54|          2.99
      55|          3.02
      56|          3.65
      57|          3.68
      58|          3.61
      59|          2.79
      60|          2.15
      61|          2.95
      62|          3.62
      63|          3.25
      64|          2.42
      65|          2.33
      66|           2.3
      67|          2.56
      68|          4.14
      69|          3.29
      70|          2.73
      71|          3.77
      72|          3.15
      73|          3.89
      74|          3.19
      75|          2.57
      76|          4.09
      77|          2.85
      78|          2.94
      79|          3.77
      80|           2.8
      81|          3.44
      82|          3.04
      83|          3.73
      84|          3.22
      85|          4.25
      86|          1.95
      87|          2.81
      88|          3.84
      89|          2.69
      90|           3.5
      91|           3.9
      92|          3.57
      93|          2.69
      94|          3.68
      95|          2.58
      96|          3.37
      97|          3.87
      98|          3.92
      99|          2.42
     100|          2.65
     101|          3.37
     102|          2.74
     103|          3.66
     104|           3.7
     105|          3.13
     106|           4.1
     107|          3.35
     108|          3.17
     109|          2.68
     110|          3.03
     111|          3.08
     112|           3.0
     113|          3.89
     114|          3.37
     115|          3.54
     116|          3.54
     117|          3.46
     118|          3.43
     119|           2.7
     120|          2.42
     121|          3.62
     122|          2.91
     123|          2.83
     124|          2.27
     125|          3.37
     126|           3.2
     127|          2.63
     128|          3.22
     129|          2.15
     130|          2.23
     131|           2.7
     132|          3.07
     133|          3.74
     134|          2.13
     135|          4.14
     136|          2.98
     137|          2.39
     138|          3.94
     139|          2.51
     140|          2.53
     141|          2.98
     142|          2.81
     143|          3.85
     144|           3.2
     145|          3.07
     146|          2.42
     147|          2.17
     148|           3.3
     149|          3.02
     150|          2.88
     151|          1.95
     152|          3.93
     153|          2.75
     154|          2.94
     155|           3.6
     156|           3.5
     157|          3.38
     158|          2.66
     159|          3.93
     160|          3.01
     161|          3.85
     162|          2.96
     163|          2.38
     164|          2.63
     165|          3.92
     166|          3.56
     167|          4.09
     168|          3.24
     169|          3.39
     170|          3.18
     171|          3.74
     172|          3.13
     173|          3.54
     174|          3.32
     175|           4.0
     176|          3.27
     177|          2.68
     178|          3.37
     179|          2.46
     180|          3.83
     181|           2.6
     182|          3.08
     183|          3.01
     184|          3.34
     185|          3.06
     186|          3.38
     187|          3.01
     188|          2.76
     189|          3.35
     190|           2.1
     191|          3.93
     192|           3.2
     193|          2.98
     194|          3.13
     195|           3.3
     196|          3.47
     197|          3.48
     198|          3.08
     199|          3.89
     200|          3.01
     201|          3.42
     202|           3.1
     203|          3.16
     204|          2.71
     205|           3.3
     206|          3.86
     207|          2.86
     208|          3.36
     209|          4.16
     210|          3.15
     211|          3.56
     212|          2.78
     213|          3.47
     214|          2.92
     215|          4.06
     216|          3.22
     217|          2.95
     218|          3.23
     219|           2.6
     220|          3.26
     221|          3.43
     222|          2.61
     223|          4.21
     224|          3.83
     225|          2.73
     226|          2.44
     227|          3.42
     228|          2.83
     229|          3.83
     230|           3.1
     231|          2.94
     232|          3.18
     233|          3.24
     234|          2.97
     235|          3.02
     236|          2.32
     237|           3.4
     238|          3.68
     239|          3.77
     240|          3.95
     241|          4.16
     242|          3.91
     243|          3.03
     244|          3.87
     245|          2.78
     246|          3.12
     247|          3.03
     248|          3.63
     249|          3.18
     250|          3.44
     251|          3.88
     252|          3.39
     253|          4.07
     254|          2.04
     255|          3.14
     256|          3.44
     257|          3.91
     258|          2.95
     259|          3.22
     260|          3.16
     261|          3.69
     262|          3.71
     263|          3.98
     264|          2.89
     265|          3.25
     266|          3.06
     267|          3.69
     268|          3.71
     269|          3.76
     270|          4.29
     271|           3.1
     272|          2.92
     273|          3.36
     274|          2.77
     275|          3.63
     276|          2.08
     277|          3.45
